"","G","AB","R","H","2B","3B","HR","TB","RBI","SB","CS","BB","HBP","SO","GDP","E","OPS"
"126",109,421,76,128,21,1,18,205,63,22,10,67,2,78,10,2,0.888976683309904
"127",124,452,61,117,22,1,18,195,73,22,8,63,6,87,13,4,0.788421687360929
"128",115,347,53,97,19,1,17,169,54,10,7,41,4,52,5,3,0.849276598247368
"129",112,396,66,126,26,2,19,213,72,5,6,69,3,66,14,5,0.960955710955711
"130",113,315,53,85,12,0,12,133,46,15,4,45,8,57,7,2,0.797222222222222
"131",82,191,22,42,7,0,8,73,27,1,2,23,1,34,6,1,0.689175697065628
"132",74,161,11,30,8,0,1,41,12,4,1,15,0,36,2,0,0.510340203274986
"133",46,104,16,26,5,0,5,46,18,0,1,14,1,25,3,0,0.786845507433743
"134",45,32,4,4,0,0,1,7,2,0,1,1,0,9,2,3,0.370265151515151
"135",37,54,7,12,0,0,1,15,6,0,1,2,2,10,0,2,0.553639846743295
"136",106,184,31,45,8,3,1,62,20,4,0,13,8,43,5,10,0.658907741251326
"137",125,294,28,64,13,1,4,91,32,13,5,10,5,89,5,17,0.565187239944521
"138",78,205,15,36,6,3,1,51,17,4,2,12,5,52,2,7,0.487519226543617
"139",124,285,34,67,5,5,2,88,25,9,5,27,13,81,5,15,0.638002699055331
"140",79,194,21,46,7,3,9,86,25,3,2,7,3,53,1,13,0.717808772993734
"141",79,209,26,49,4,1,3,64,18,6,3,13,4,37,4,8,0.598255493923868
"142",121,349,41,84,12,3,4,114,36,11,4,26,4,67,14,24,0.627439121198146
"143",76,206,15,47,6,2,1,60,14,1,2,6,3,32,5,8,0.5517272522014
"144",128,381,45,94,15,3,7,136,34,5,3,28,7,67,11,12,0.667051534423582
"145",61,154,14,35,6,1,3,52,21,2,2,14,1,34,2,3,0.633520325828018
"146",28,57,8,12,3,1,1,20,10,0,1,6,1,23,0,1,0.647752192982456
"147",68,104,19,24,6,0,4,42,13,1,0,12,1,29,1,3,0.72008547008547
"148",116,296,32,65,8,1,5,90,22,3,6,18,9,86,4,15,0.588883775416283
"149",40,44,7,11,2,1,0,15,3,0,0,2,2,12,2,1,0.653409090909091
"150",61,99,11,21,3,0,6,42,11,0,0,8,1,31,4,1,0.702
"151",121,349,42,71,19,1,15,137,54,4,1,36,2,75,6,3,0.672
"152",101,221,39,63,10,2,7,98,36,6,1,25,3,43,4,2,0.806
"153",14,41,4,11,0,0,1,14,9,0,1,5,1,9,0,0,0.703
"154",141,472,72,135,20,2,19,216,86,3,3,51,17,90,12,3,0.829
"155",104,343,43,97,19,1,8,142,57,1,3,35,4,58,5,0,0.766
"156",23,40,6,9,1,0,0,10,3,2,3,4,0,9,0,0,0.545
"157",96,145,20,40,9,1,1,54,14,8,5,14,1,30,3,2,0.714
"158",124,334,51,81,10,3,4,109,18,19,10,28,6,57,6,1,0.638
"159",106,258,38,70,16,3,3,101,32,16,8,26,6,46,2,8,0.743
"160",104,341,48,91,18,3,12,151,42,10,7,24,5,67,7,5,0.766
"161",115,401,74,127,19,2,10,180,72,23,9,33,2,51,5,1,0.818
"162",80,281,37,79,14,1,8,119,33,9,4,20,2,56,3,2,0.754
"163",123,427,49,116,20,0,5,151,31,11,10,29,4,72,7,2,0.676
"164",105,352,39,106,22,3,10,164,55,10,6,36,4,54,10,3,0.836
"165",113,430,86,130,29,3,16,213,82,32,5,43,4,91,12,3,0.863
"166",96,293,43,72,17,0,4,101,31,7,4,23,7,83,6,1,0.66
"167",115,366,59,109,21,0,10,160,47,12,5,32,12,89,5,2,0.808
"168",88,183,31,40,5,1,5,62,18,10,4,15,5,50,3,2,0.635
"169",80,235,40,70,14,0,14,126,46,10,6,22,5,57,1,2,0.906
"170",65,94,15,27,6,0,1,36,7,1,2,10,0,28,2,1,0.738747954173486
"171",107,274,45,72,16,1,1,93,33,11,4,45,2,66,1,1,0.710132569297587
"172",125,329,36,85,12,4,4,117,46,7,7,38,3,58,2,6,0.696163640844492
"173",114,189,20,46,6,2,3,65,25,6,2,21,1,39,6,0,0.666190225431932
"174",78,188,23,51,10,1,5,78,19,2,2,8,2,38,1,2,0.722974425102085
"175",73,100,14,18,5,0,0,23,8,1,1,9,3,24,1,0,0.497857142857143
"176",50,158,19,40,7,2,0,51,11,8,4,23,0,29,2,2,0.670851108469124
"177",81,173,22,42,4,0,2,52,15,5,5,25,1,39,3,2,0.642286577395649
"178",110,268,25,65,14,2,4,95,31,7,4,39,1,73,1,0,0.695386702849389
"179",70,214,24,59,14,1,1,78,24,2,5,26,3,53,5,1,0.726625899003885
"180",89,300,43,94,16,3,8,140,52,1,3,40,4,42,8,2,0.867829457364341
"181",107,377,58,127,21,1,16,198,78,1,3,50,2,89,9,2,0.94244835624146
"182",66,182,23,48,6,1,5,71,25,3,0,28,2,46,7,1,0.758034418411777
"183",38,105,17,26,7,0,5,48,17,1,0,12,1,27,1,0,0.787651331719128
"184",104,298,47,88,9,2,3,110,40,8,4,27,6,89,3,7,0.73
"185",31,46,3,6,1,0,0,7,1,3,1,3,0,17,0,0,0.335847382431233
"186",65,172,24,43,10,2,3,66,23,6,5,14,3,40,2,2,0.701181247692876
"187",123,312,53,84,16,1,10,132,37,21,7,42,6,50,5,1,0.78974358974359
"188",94,314,46,86,18,1,1,109,34,21,9,36,5,50,3,4,0.704880236835023
"189",133,515,84,152,31,4,15,236,81,33,11,68,6,107,7,6,0.841953615639474
"190",97,321,57,82,19,1,6,121,42,9,6,38,7,63,2,1,0.723941576017568
"191",93,301,37,77,17,4,4,114,39,13,5,33,5,54,7,2,0.717970579876322
"192",100,269,37,58,12,0,4,82,23,6,9,34,1,60,8,0,0.610753766386226
"193",103,262,37,69,9,2,8,106,36,14,1,25,3,50,4,2,0.739062911292445
"194",38,63,9,12,2,1,1,19,6,2,1,9,2,13,1,0,0.612398112398112
"195",108,250,34,62,12,2,7,99,37,4,5,32,3,53,4,2,0.736350877192983
"196",94,255,37,76,14,1,6,110,35,3,6,27,0,37,9,3,0.796620775969963
"197",71,54,6,8,0,0,0,8,1,0,1,7,0,17,2,4,0.39404978749241
"198",58,49,5,7,1,2,0,12,5,0,0,5,3,20,0,5,0.508055853920516
"199",50,53,4,8,2,0,0,10,2,0,0,2,2,17,0,4,0.399205561072493
"200",93,217,31,58,10,1,4,82,25,8,5,13,3,71,1,4,0.694
"201",103,212,27,48,13,1,5,78,27,9,6,23,3,54,4,3,0.678
"202",52,111,28,32,3,2,7,60,16,5,0,10,0,29,1,0,0.885
"203",35,92,17,24,6,1,2,38,14,0,3,10,1,24,0,3,0.746
"204",57,143,19,48,8,0,6,74,23,2,1,5,1,41,3,0,0.877
"205",125,393,58,109,18,1,22,195,70,2,4,23,9,62,6,5,0.825
"206",124,421,58,106,15,0,27,202,76,11,2,17,4,108,13,3,0.765
"207",21,51,8,10,3,0,0,13,3,1,1,13,1,16,1,0,0.624
"208",21,37,3,5,0,0,3,14,5,0,0,3,1,14,2,1,0.598
"209",83,209,28,60,9,0,4,81,24,1,0,6,3,44,7,4,0.697
"210",125,457,69,121,21,1,24,216,89,4,3,29,8,87,14,9,0.792485759087164
"211",114,399,62,128,25,3,22,225,84,2,1,41,10,53,9,7,0.961687552213868
"212",127,469,78,159,29,1,31,283,106,5,2,51,13,65,17,17,1.0217980054165
"213",103,364,49,118,18,0,18,190,62,2,2,47,4,57,10,3,0.929206937640673
"214",120,415,63,132,21,0,26,231,79,1,1,52,13,61,8,10,0.967043172690763
"215",118,401,61,137,23,2,23,233,89,3,2,79,11,53,15,5,1.04336917380683
"216",124,430,72,123,19,1,19,201,76,4,6,69,16,67,14,16,0.871325355610747
"217",94,268,51,81,13,1,10,126,50,1,2,57,12,38,10,7,0.915253111298109
"218",43,140,19,35,7,0,4,54,16,0,0,23,1,17,7,0,0.745470383275261
"219",119,382,68,123,24,0,19,204,78,11,2,83,14,55,10,9,0.993321601504006
"220",109,363,55,112,12,2,18,182,104,2,2,63,12,54,11,10,0.928318049737726
"221",105,354,63,125,28,0,19,210,86,3,1,61,8,55,17,8,1.05184918059062
"222",110,387,60,114,22,0,20,196,67,0,1,67,10,45,15,4,0.918097879354896
"223",120,406,57,116,24,1,17,193,75,6,1,66,8,54,18,3,0.871202791461412
"224",66,223,18,65,5,0,2,76,27,3,1,16,2,24,7,0,0.685205515136855
"225",28,82,6,21,2,0,1,26,9,1,0,10,5,9,4,1,0.688207191350264
"226",78,107,9,27,6,0,0,33,14,5,1,6,0,19,1,2,0.6
"227",81,178,26,42,19,0,3,70,14,4,3,14,0,25,2,7,0.685
"228",55,83,11,16,1,0,2,23,9,3,1,9,0,18,1,3,0.543
"229",27,41,5,10,0,0,1,13,6,0,1,3,2,15,0,0,0.643
"230",56,79,10,16,3,0,0,19,2,1,3,11,3,22,1,0,0.564
"231",40,137,19,36,10,0,0,46,10,8,5,21,3,31,1,3,0.709
"232",71,192,28,41,11,3,2,64,27,4,0,19,5,51,2,4,0.634
"233",93,288,35,88,13,0,4,113,31,8,5,25,4,45,11,3,0.759
"234",140,526,77,171,28,3,7,226,70,12,15,62,6,70,15,5,0.831
"235",131,390,49,114,17,1,2,139,35,9,4,37,13,73,5,4,0.728
"236",46,100,12,25,7,0,2,38,16,1,0,13,0,27,2,2,0.716
"237",114,327,51,81,17,0,4,110,37,5,5,48,4,72,8,8,0.685
"238",80,180,26,36,4,0,2,46,12,1,0,18,11,41,6,3,0.566
"239",124,314,37,74,10,1,4,98,23,12,3,26,9,51,4,8,0.623
"240",71,219,24,62,9,0,4,83,22,7,2,17,6,58,2,3,0.725
"241",128,458,60,129,24,2,15,202,72,7,7,42,16,84,11,13,0.801
"242",116,438,60,128,29,2,12,197,77,3,1,30,10,80,10,8,0.799
"243",118,445,60,135,24,0,16,207,71,1,1,31,8,62,15,5,0.822
"244",141,510,76,156,39,5,17,256,90,6,3,53,3,89,15,7,0.869
"245",133,472,59,133,26,1,15,206,78,0,1,43,7,93,15,6,0.781
"246",128,413,46,117,24,0,10,171,45,1,0,40,6,80,6,7,0.765
"247",35,74,5,11,1,0,0,12,5,0,0,3,0,21,1,5,0.344
"248",88,144,17,37,9,0,2,52,14,1,1,21,2,38,2,7,0.72
"249",137,352,39,78,9,2,4,103,40,3,3,26,5,55,7,8,0.576
"250",125,310,53,76,9,3,6,109,37,5,2,39,3,63,8,4,0.685
"251",44,62,4,14,0,1,0,16,7,1,0,1,5,18,2,0,0.552
"252",55,94,23,25,8,0,2,39,7,3,1,2,1,34,0,1,0.704
"253",54,116,18,28,6,0,1,37,8,4,2,18,4,40,4,1,0.681
"254",46,45,8,9,1,0,1,13,1,4,0,1,1,19,2,1,0.523
"255",59,97,13,21,4,0,3,34,17,5,5,5,3,30,6,0,0.625
"256",57,76,1,14,3,0,0,17,8,1,0,6,1,21,2,1,0.474
"257",56,74,7,17,3,0,0,20,6,0,0,1,1,22,0,2,0.52
"258",97,242,43,59,19,0,0,78,17,18,6,21,2,51,7,9,0.63
"259",101,282,37,69,7,3,0,82,22,30,6,31,12,45,10,8,0.635
"260",128,406,53,113,16,4,2,143,47,29,7,47,7,61,7,22,0.714
"261",129,419,64,115,18,4,2,147,36,25,11,41,7,56,8,14,0.696
"262",115,372,57,111,17,3,7,155,44,14,5,30,5,44,7,16,0.771
"263",128,427,74,123,20,8,5,174,63,53,6,41,7,77,7,14,0.761
"264",132,449,67,125,30,4,8,187,63,26,5,43,6,56,9,18,0.761
"265",105,358,56,97,13,0,3,119,38,6,4,23,8,39,9,15,0.658
"266",42,144,17,38,7,0,3,54,13,1,1,5,1,26,4,7,0.666
"267",122,453,63,119,13,1,10,164,50,12,9,27,8,91,11,16,0.676
"268",60,65,10,17,3,0,1,23,3,1,0,8,0,16,3,8,0.696311907270811
"269",25,44,5,9,3,0,0,12,3,0,0,5,0,11,1,0,0.553
"270",114,366,39,106,20,0,7,147,56,3,1,38,4,84,10,6,0.76
"271",80,101,7,23,3,1,0,28,7,0,3,11,2,22,4,0,0.593
"272",52,61,9,9,0,2,0,13,3,2,1,3,1,17,3,6,0.413114754098361
"273",19,36,4,4,0,0,0,4,0,0,0,1,0,3,3,2,0.246246246246246
"274",68,141,25,45,9,0,1,57,17,4,2,10,0,30,1,3,0.768493729744963
"275",73,136,20,33,4,1,0,39,4,8,4,2,1,14,2,2,0.545757511637749
"276",84,149,15,28,3,0,1,34,13,2,6,7,6,40,4,5,0.481274339216174
"277",49,60,4,16,1,0,1,20,3,0,1,6,1,18,0,4,0.676616915422886
"278",103,166,13,36,10,0,1,49,18,2,0,7,0,46,5,8,0.543735636186364
"279",112,278,39,71,2,2,0,77,24,5,9,30,2,40,8,13,0.607
"280",72,116,29,34,9,1,0,45,6,8,2,10,1,13,2,11,0.742
"281",115,348,40,102,14,2,1,123,28,23,7,34,6,44,5,14,0.715
"282",98,335,58,97,12,2,4,125,47,22,9,50,2,42,8,9,0.753
"283",126,441,63,124,19,2,5,162,55,30,12,58,2,48,9,13,0.73
"284",88,310,51,93,12,0,1,108,29,28,14,39,2,26,10,9,0.725
"285",33,93,7,27,4,0,0,31,9,2,0,3,0,10,3,1,0.646
"286",137,476,84,176,34,1,5,227,64,4,4,39,5,40,10,14,0.897
"287",127,424,73,125,17,2,4,158,49,4,1,48,9,42,10,12,0.747
"288",125,182,32,47,8,1,3,66,26,3,3,17,4,52,4,0,0.696
"289",130,306,60,81,15,1,15,143,51,5,2,30,3,64,15,1,0.801
"290",124,308,60,76,18,4,6,120,31,10,4,24,9,59,4,0,0.705
"291",111,323,49,84,13,2,13,140,45,11,2,29,1,64,10,0,0.753
"292",88,163,28,39,8,3,2,59,14,6,2,12,5,26,2,6,0.673
"293",97,162,27,35,7,1,1,47,16,2,6,16,1,28,6,2,0.581
"294",122,398,73,113,20,1,5,150,43,6,3,55,7,51,7,18,0.753
"295",129,397,49,118,20,0,8,162,48,1,4,31,7,42,14,23,0.765
"296",138,479,66,153,28,0,8,205,65,3,3,33,6,37,13,16,0.794
"297",130,380,45,103,14,0,4,129,29,2,1,34,4,28,8,6,0.674
"298",135,415,51,115,19,1,4,148,55,6,2,29,9,42,19,17,0.693
"299",47,151,27,48,4,2,0,56,18,4,2,12,1,16,2,2,0.741
"300",110,185,24,45,9,3,0,60,24,12,6,16,6,23,2,4,0.645
"301",96,187,25,38,8,0,9,73,20,0,0,17,2,39,7,3,0.667073360677016
"302",36,77,7,20,6,0,1,29,7,0,0,5,0,16,4,0,0.681501425403864
"303",45,106,13,26,5,2,4,47,9,0,0,11,1,21,3,0,0.765430124720179
"304",122,336,53,85,19,1,11,139,47,2,1,34,10,88,3,2,0.753164160401002
"305",42,62,3,11,2,0,1,16,5,0,0,9,0,16,2,0,0.539754656974103
"306",83,194,22,48,4,0,2,58,21,5,4,17,0,50,1,5,0.603
"307",109,301,42,83,6,5,5,114,34,21,7,34,0,58,6,1,0.725
"308",103,183,31,44,7,1,0,53,22,9,7,19,2,46,2,6,0.607
"309",71,171,30,43,5,1,0,50,15,11,6,22,3,38,3,2,0.639
"310",105,308,62,98,18,4,1,127,20,19,7,35,0,64,6,0,0.8
"311",60,164,17,44,6,2,0,54,8,9,4,19,0,49,2,1,0.673
"312",114,159,28,37,2,0,0,39,13,10,1,16,0,32,1,1,0.543
"313",78,195,29,54,12,2,7,91,26,0,0,10,5,59,3,0,0.795238095238095
"314",38,35,12,6,1,0,0,7,2,3,0,5,0,7,2,0,0.475
"315",41,34,3,9,0,0,0,9,1,0,3,3,0,8,0,0,0.589030206677265
"316",94,181,26,61,5,3,0,72,13,12,2,14,0,27,2,0,0.782405439864003
"317",114,313,40,76,11,4,3,104,28,9,9,38,2,58,5,2,0.660880268624026
"318",106,344,55,105,14,4,0,127,30,21,8,51,3,50,3,0,0.768683533948814
"319",101,356,74,107,14,9,8,163,43,20,10,56,6,55,8,0,0.86217138863502
"320",111,353,43,84,16,3,5,121,28,15,6,56,2,63,5,3,0.688274987420993
"321",87,269,36,73,18,2,2,101,30,1,3,32,0,28,4,0,0.724301893317195
"322",120,386,60,117,21,4,3,155,61,8,4,69,2,54,12,0,0.812932959943765
"323",42,96,12,18,8,0,1,29,12,1,0,23,0,20,0,2,0.646621148459384
"324",44,80,21,18,4,1,0,24,13,3,1,17,0,13,2,0,0.660824742268041
"325",110,277,45,74,13,3,5,108,33,8,5,53,3,46,5,0,0.780282087141293
"326",37,73,10,16,5,0,0,21,12,1,0,15,0,16,2,1,0.63994396014944
"327",31,43,5,8,1,0,2,15,4,0,0,1,0,11,0,1,0.554
"328",46,95,16,25,7,0,1,35,10,0,0,12,0,26,0,1,0.711
"329",19,36,3,3,0,0,1,6,5,0,0,4,0,10,1,1,0.338
"330",75,181,21,55,9,0,6,82,28,0,1,10,2,35,8,2,0.798
"331",25,36,5,8,3,0,0,11,3,0,0,3,2,9,1,0,0.623
"332",73,41,7,7,0,0,0,7,5,0,0,5,0,11,1,0,0.432
"333",122,188,25,41,7,0,0,48,14,1,1,8,7,42,10,9,0.53
"334",112,261,48,65,8,5,1,86,21,12,3,25,2,33,7,14,0.648
"335",80,180,27,43,9,4,3,69,36,4,1,20,1,27,5,7,0.695
"336",83,85,11,19,3,1,0,24,8,5,1,14,1,15,3,2,0.622
"337",57,109,6,20,5,1,0,27,9,1,1,7,2,15,4,5,0.49
